BISHOP,mbthomas74,8
BISHOPRIC_FIRST_COUNSELOR,lafaele40,6
BISHOPRIC_SECOND_COUNSELOR,Aloeb1013,6
WARD_CLERK,lafaele40,7
WARD_ASSISTANT_CLERK,RIBITALOT@AOL.COM,6
WARD_EXECUTIVE_SECRETARY,iansalas,6
MEMBER1,dcbryson,1
MEMBER2,Kimburrell,1
ELDERS_QUORUM_PRESIDENT,clmarti,5
ELDERS_QUORUM_FIRST_COUNSELOR,usosmith,5
ELDERS_QUORUM_SECOND_COUNSELOR,zadams980,5
ELDERS_QUORUM_SECRETARY,Dustyshock,5
RELIEF_SOCIETY_PRESIDENT,lili_ika,5
RELIEF_SOCIETY_FIRST_COUNSELOR,sharonstelter,5
RELIEF_SOCIETY_SECOND_COUNSELOR,ELRodz82,5
RELIEF_SOCIETY_SECRETARY,shiloht42,5
YOUNG_WOMEN_PRESIDENT,rosettelambson,4
YOUNG_WOMEN_FIRST_COUNSELOR,sungah,4
YOUNG_WOMEN_SECOND_COUNSELOR,mahina_12006,4
SUNDAY_SCHOOL_PRESIDENT,ovjv,4
SUNDAY_SCHOOL_FIRST_COUNSELOR,Angelguti9,4
PRIMARY_PRESIDENT,lmonterroso,4
PRIMARY_FIRST_COUNSELOR,NatySalas1,4
PRIMARY_SECOND_COUNSELOR,lili_ika,4
# WARD_MISSION_LEADER,julieryan,4
